1403638523077829632,0.02850,0.00526,0.35652,-0.07295,0.80752,0.01782,0.58505,-0.01350,-0.04124,0.21552,
1403638523177829632,0.03226,0.00016,0.38669,-0.07273,0.80720,0.01827,0.58549,-0.03627,-0.06435,0.02401,
1403638523277829376,0.03070,-0.00814,0.38159,-0.06364,0.80493,0.01814,0.58966,-0.02040,-0.07744,-0.23034,
1403638523377829632,0.03019,-0.01324,0.35167,-0.05910,0.80391,0.01720,0.59156,-0.01793,-0.05779,-0.41535,
1403638523477829376,0.02854,-0.01886,0.30883,-0.05435,0.80761,0.01968,0.58688,-0.04653,-0.07358,-0.50010,
1403638523577829632,0.02399,-0.02592,0.25902,-0.04738,0.81684,0.02400,0.57442,-0.06131,-0.07452,-0.52660,
1403638523677829632,0.01843,-0.03162,0.20861,-0.04039,0.82622,0.02682,0.56126,-0.06866,-0.07044,-0.51161,
1403638523777829376,0.01319,-0.03703,0.16012,-0.03681,0.83079,0.02972,0.55457,-0.07271,-0.05404,-0.47833,
1403638523877829632,0.00714,-0.04228,0.11616,-0.03362,0.83139,0.03268,0.55370,-0.08493,-0.05834,-0.41014,
1403638523977829376,0.00083,-0.04615,0.08335,-0.02445,0.83142,0.03877,0.55375,-0.07076,-0.02401,-0.27000,
1403638524077829632,-0.00293,-0.04873,0.07095,-0.01750,0.83451,0.04721,0.54868,-0.03275,0.00163,-0.02052,
1403638524177829632,-0.00390,-0.04755,0.09115,-0.01795,0.83908,0.05208,0.54121,0.00069,0.01560,0.27590,
1403638524277829376,-0.00294,-0.04769,0.13514,-0.02439,0.84004,0.05330,0.53935,0.03590,0.00313,0.49188,
1403638524377829632,0.00116,-0.04733,0.19006,-0.03390,0.83726,0.05178,0.54330,0.06119,0.00865,0.58200,
1403638524477829376,0.00779,-0.04643,0.25053,-0.04095,0.83068,0.05000,0.55299,0.07522,0.01400,0.61277,
1403638524577829632,0.01619,-0.04433,0.31043,-0.04417,0.82185,0.04863,0.56590,0.08970,0.02799,0.58135,
1403638524677829632,0.02522,-0.04146,0.36437,-0.04018,0.81543,0.04311,0.57585,0.08763,0.04443,0.47788,
1403638524777829376,0.03222,-0.03708,0.40513,-0.02745,0.81161,0.03798,0.58232,0.06320,0.04170,0.33081,
1403638524877829632,0.03747,-0.03261,0.43111,-0.02370,0.81011,0.03528,0.58473,0.05310,0.05259,0.18873,
1403638524977829376,0.03894,-0.02906,0.44077,-0.03017,0.80851,0.03751,0.58651,0.00979,0.02655,-0.00829,
1403638525077829632,0.03993,-0.02771,0.42833,-0.02804,0.80580,0.04104,0.59009,0.01737,0.01764,-0.24084,
1403638525177829632,0.04129,-0.02675,0.39466,-0.02591,0.80434,0.04572,0.59184,0.01159,0.01170,-0.41826,
